N,E,W,X
2, 10.7157, 0, 411
39, 23.2689, 2, 20319
39, 24.236, 2, 1963
37, 27.06, 2, 2469
36, 28.472, 2, 1580
33, 30.7737, 2, 87
34, 33.2302, 3, 891
34, 40.9671, 3, 1081
34, 37.0986, 3, 74
37, 27.06, 0, 4871
51, 25.6673, 0, 25682
54, 29.1683, -1, 5816
56, 39.8839, 0, 3143
56, 29.2456, 8, 8926
57, 29.7679, 8, 375
58, 34.1586, 8, 299
52, 57.1373, 8, 9200
54, 44.6422, 8, 3796
52, 47.4662, 7, 1008
44, 52.9594, 6, 10171
46, 46.2669, 4, 15330
47, 44.8549, 4, 609
42, 57.7176, 1, 6655
42, 57.7176, 1, 10
35, 45.3578, 1, 2542
42, 43.2108, 1, 6627
45, 62.1857, 4, 6416
46, 60.7737, 4, 277
47, 61.2959, 4, 349
48, 62.7853, 1, 233
51, 54.6809, 4, 3340
50, 53.1915, 7, 9
50, 51.2573, 7, 112
44, 48.1238, 7, 3653
49, 17.853, 12, 17485
48, 9.59381, 12, 327
51, 25.6673, 7, 7294
51, 25.6673, 7, 221
47, 33.2495, 5, 2025
45, 47.6789, 4, 7233
45, 36.0735, 5, 17281
47, 49.6905, 5, 11789
47, 52.5919, 4, 38015
47, 50.6576, 4, 120
49, 59.4391, 5, 3589
50, 61.8956, 6, 680
48, 58.9168, 9, 8386
46, 75.2805, 9, 6428
45, 69.9226, 9, 705
45, 69.9226, 9, 221
45, 42.8433, 3, 23227
48, 23.1335, 5, 8066
34, 40.9671, 3, 2137
43, 69.8453, 3, 3505
42, 59.6518, 2, 2956
42, 53.8491, 2, 148
39, 44.5455, 3, 2348
38, 10.1741, 5, 5544
44, 25.8801, 6, 8019
43, 23.4236, 6, 101
40, 18.9555, 2, 8861
53, 27.6789, 4, 22244
68, 48.0851, 6, 15007
59, 38.5493, 4, 1255
57, 37.5048, 4, 522
41, 21.412, 3, 14318
42, 21.9342, 3, 255
49, 74.913, 1, 36447
50, 66.7311, 4, 6020
49, 66.2089, 4, 0
51, 57.5822, 4, 2417
53, 64.4294, 6, 7265
52, 60.0387, 5, 247
38, 60.4642, 7, 37408
38, 50.793, 7, 1011
37, 48.3366, 7, 61
40, -4.25532, 6, 7819
48, 46.3443, 2, 17487
45, 36.0735, 1, 4982
46, 32.7273, 1, 235
45, 43.8104, 3, 17998
46, 50.1354, 4, 1882
45, 51.5474, 4, 0
46, 45.2998, 8, 60026
51, 57.5822, 7, 10742
46, 33.6944, 8, 30723
46, 33.6944, 8, 221
44, 34.5841, 7, 1880
52, 10.7157, 4, 9034
53, 15.1064, 4, 293
45, 16.7311, 3, 1507
46, 19.1876, 3, 388
46, 15.3191, 3, 478
49, 24.6228, 3, 936
43, 31.1605, 3, 5286
42, 26.7698, 3, 81
47, 38.0851, 6, 14771
47, 36.1509, 7, 270
49, 37.1954, 7, 3184
51, 55.648, 4, 5655
50, 51.2573, 4, 39
50, 51.2573, 4, 190
42, 58.6847, 3, 1865
51, 67.2534, 3, 59571
47, 66.1315, -3, 12767
50, 66.7311, 5, 7789
55, 77.0793, 5, 10278
53, 68.2979, 7, 42019
53, 70.2321, 7, 160
52, 65.8414, 7, 179
48, 68.588, 2, 9614
50, 71.5667, 2, 887
50, 46.4217, 4, 7421
51, 46.9439, 3, 2240
51, 48.8781, 3, 649
60, 52.6112, 0, 6484
51, 87.5629, -1, 26444
59, 68.53, 7, 9146
59, 70.4642, 7, 310
61, 70.5416, 7, 919
60, 70.9865, 7, 43
60, 76.7892, 7, 655
59, 80.1354, 7, 9
58, 44.7969, 5, 6769
50, 68.6654, -1, 9924
50, 63.8298, -1, 737
45, 45.7447, 5, 10919
48, 71.4894, 4, 9471
53, 80.8704, 4, 3605
53, 84.7389, 3, 753
44, 57.795, -1, 11631
46, 52.0696, 0, 1744
47, 36.1509, 1, 3591
49, 46.8665, 1, 1030
36, 54.5841, 4, 13432
35, 55.9961, 4, 249
39, 55.1838, 4, 4104
46, 54.0039, 3, 6095
42, 44.1779, 3, 226
47, 50.6576, 4, 3204
48, 54.0812, 3, 12426
49, 56.5377, 3, 386
44, 31.6828, 6, 28445
45, 44.7776, 6, 1362
45, 36.0735, 7, 5415
41, 26.2476, 6, 529
44, 33.617, 6, 1527
51, 46.9439, 7, 16136
42, 60.619, 3, 8121
43, 63.0754, 3, 231
44, 81.0058, 2, 7155
36, 58.4526, 2, 7334
35, 61.7988, 1, 49
29, 61.5667, -2, 2947
34, 40, 4, 13882
43, 35.029, 6, 11415
43, 33.0948, 6, 158
43, 31.1605, 6, 626
47, 43.8878, 3, 15704
49, 48.8008, 3, 21555
55, 40.3288, 2, 6578
51, 16.9632, 5, 10524
52, 21.354, 5, 359
51, 22.766, 5, 4901
46, 36.5957, 5, 13116
50, 12.5725, 5, 4366
47, 35.1838, 6, 14313
44, 32.6499, 5, 1105
45, 35.1064, 5, 393
55, 53.8685, 5, 25990
56, 52.4565, 4, 1506
50, 47.3888, 2, 254
51, 24.7002, 3, 7775
50, 26.1122, 7, 28483
54, 41.7408, 8, 6983
55, 42.2631, 7, 267
55, 45.1644, 7, 502
56, 49.5551, 7, 347
54, 44.6422, 7, 357
53, 44.1199, 7, 0
45, 36.0735, 7, 2739
45, 34.1393, 7, 261
47, 31.3153, 7, 696
46, 28.8588, 6, 743
42, 27.7369, 6, 3471
40, 29.5938, 6, 190
39, 32.94, 6, 81
47, 36.1509, 6, 44123
45, 38.0077, 4, 15988
52, 58.1044, 5, 20898
53, 60.5609, 6, 1231
57, 57.8143, 5, 2018
40, 29.5938, 4, 22912
37, 35.764, 6, 13338
34, 43.8685, 8, 2500
32, 37.0213, 8, 2938
35, 35.6867, 9, 1091
42, 17.0986, 5, 19699
39, 17.4662, 6, 873
38, 16.9439, 6, 1084
39, 17.4662, 6, 254
46, 60.7737, 2, 21993
47, 60.3288, 4, 1313
48, 37.6402, 6, 6495
44, 24.913, 7, 9817
46, 33.6944, 7, 805
45, 33.1721, 7, 21
40, 47.9691, 5, 17402
39, 43.5783, 5, 149
37, 30.9284, 6, 1569
36, 30.4062, 6, 265
52, 43.5977, 5, 6520
52, 34.8936, 5, 6401
51, 46.9439, 3, 24682
49, 42.9981, 5, 8964
49, 44.9323, -1, 1746
50, 65.764, -4, 4114
45, 69.9226, -1, 3838
48, 67.6209, 0, 1612
54, 24.3327, 6, 8726
61, 11.5474, 8, 4915
64, 21.8182, 6, 3924
64, 21.8182, 6, 14
56, 52.4565, 5, 5255
59, 79.1683, 5, 10095
58, 78.646, 5, 117
53, 74.1006, 4, 5051
46, 44.3327, 8, 7515
46, 44.3327, 8, 194
44, 39.4197, 6, 5255
40, 46.0348, 4, 3169
41, 12.7079, 4, 2816
40, 10.2515, 4, 203
38, 15.9768, 4, 12187
36, 10.0967, 2, 8224
36, 10.0967, 2, 221
38, 13.0754, 2, 1377
43, 22.4565, 5, 7829
42, 24.8356, 5, 528
36, 36.2089, 3, 9448
39, 43.5783, 1, 4530
54, 44.6422, 8, 41386
57, 24.9323, 10, 4752
56, 14.7389, 10, 547
42, 64.4874, 3, 24281
41, 64.9323, 5, 11637
39, 58.0851, 5, 430
48, 48.2785, 8, 5792
48, 66.6538, 7, 22413
49, 69.1103, 7, 444
48, 68.588, 7, 420
47, 43.8878, 3, 8029
45, 40.9091, 3, 3111
45, 42.8433, 3, 569
44, 31.6828, -1, 21536
49, 53.6364, 5, 12384
48, 49.2456, 5, 239
47, 44.8549, 5, 13
48, 47.3114, 5, 313
46, 48.2012, 5, 374
42, 20, 3, 38014
30, 35.0097, 5, 9430
44, 22.0116, 7, 17099
41, 18.5106, 6, 135
34, 29.3617, 2, 5676
33, 28.8395, 2, 163
31, 23.9265, 2, 235
36, 50.7157, 4, 7879
36, 51.6828, 5, 2313
35, 56.9632, 6, 955
36, 59.4197, 6, 223
53, 42.1857, 8, 18727
45, 43.8104, 6, 10595
49, 68.1431, -2, 16267
43, 50.5029, 0, 9925
44, 39.4197, 4, 35522
44, 31.6828, 4, 3206
55, 34.5261, 6, 8853
56, 42.7853, 6, 16196
55, 40.3288, 4, 20057
58, 41.8956, 7, 1136
50, 41.5861, 10, 13891
49, 40.0967, 6, 9015
51, 45.0097, 6, 2107
