N,E
1, 4.39072
2, 4.91296
1, 4.39072
1, 2.45648
1, -1.41199
2, 2.97872
1, 4.39072
1, 2.45648
1, 2.45648
2, 2.97872
1, 2.45648
0, 0
1, 0.522244
1, -3.34623
1, 0.522244
2, -0.889749
0, 0
1, 0.522244
3, 5.4352
2, 2.97872
3, 9.30368
2, 1.04449
2, 1.04449
1, 4.39072
1, 2.45648
1, 0.522244
1, -3.34623
0, 0
2, 2.97872
2, 1.04449
1, 4.39072
2, 2.97872
2, 2.97872
1, 4.39072
0, 0
1, -1.41199
0, 0
1, -3.34623
2, -2.82398
1, -1.41199
2, -2.82398
2, -0.889749
1, 2.45648
1, 2.45648
1, 0.522244
0, 0
1, 0.522244
0, 0
1, -1.41199
1, 2.45648
1, 2.45648
1, 2.45648
2, 2.97872
1, 0.522244
1, -1.41199
0, 0
1, 0.522244
1, -3.34623
1, -1.41199
1, 0.522244
0, 0
0, 0
1, -2.37911
1, 0.522244
0, 0
0, 0
1, 0.522244
0, 0
1, 2.45648
0, 0
1, -1.41199
0, 0
3, 7.36944
1, 5.35783
2, 6.8472
1, 3.4236
0, 0
1, 0.522244
1, 0.522244
1, -8.18182
1, -6.24758
1, 2.45648
0, 0
1, -5.28046
0, 0
1, -1.41199
0, 0
0, 0
2, -2.82398
2, 2.97872
1, -5.28046
0, 0
2, -2.82398
2, -0.889749
1, 0.522244
0, 0
2, -7.65957
1, -3.34623
0, 0
0, 0
1, -1.41199
0, 0
1, 1.48936
0, 0
1, 4.39072
0, 0
1, -1.41199
0, 0
2, -2.82398
2, -2.82398
1, 2.45648
0, 0
1, 0.522244
0, 0
0, 0
1, -3.34623
1, -0.444874
0, 0
1, 2.45648
2, 2.01161
1, 2.45648
0, 0
1, -1.41199
2, 6.8472
1, 0.522244
0, 0
1, -1.41199
1, -1.41199
1, -1.41199
2, -6.69246
2, 4.91296
3, 7.36944
1, 2.45648
1, 4.39072
1, -1.41199
2, -0.889749
1, -3.34623
0, 0
2, -4.75822
3, 1.56673
1, -1.41199
2, 1.04449
2, 6.8472
2, 2.97872
1, 4.39072
2, -0.889749
1, 2.45648
1, 2.45648
1, 0.522244
1, 2.45648
2, -0.889749
2, 2.97872
1, 2.45648
0, 0
1, -1.41199
2, -8.62669
1, -1.41199
1, -5.28046
1, -5.28046
1, -1.41199
1, 1.48936
1, -1.41199
0, 0
1, 0.522244
2, -4.75822
1, 4.39072
2, -0.889749
2, -2.82398
1, 0.522244
1, -1.41199
0, 0
1, 0.522244
2, -0.889749
1, -1.41199
1, 3.4236
1, 0.522244
2, 2.01161
1, 0.522244
1, 1.48936
1, -1.41199
2, 1.04449
1, -1.41199
2, -1.85687
0, 0
1, 0.522244
1, 0.522244
1, 2.45648
1, -0.444874
1, 0.522244
1, 2.45648
2, -3.7911
2, 2.97872
2, 2.97872
1, 6.32495
0, 0
1, -1.41199
1, -0.444874
1, -1.41199
1, -5.28046
1, -5.28046
2, -5.72534
2, -3.7911
1, -2.37911
1, 2.45648
1, 2.45648
1, -1.41199
1, 0.522244
1, -3.34623
0, 0
1, -1.41199
0, 0
1, 0.522244
1, -1.41199
1, -3.34623
1, -3.34623
1, -3.34623
1, 0.522244
2, 4.91296
1, 2.45648
2, 2.97872
3, 3.50097
0, 0
1, 2.45648
0, 0
1, 4.39072
2, 9.74855
2, 2.01161
0, 0
1, 0.522244
0, 0
2, -0.889749
2, -4.75822
1, -1.41199
0, 0
1, -5.28046
0, 0
1, 0.522244
2, -0.889749
1, 0.522244
2, 1.04449
2, 4.91296
1, 2.45648
2, 2.97872
1, 4.39072
0, 0
1, 0.522244
1, 0.522244
0, 0
1, 1.48936
1, 1.48936
2, -0.889749
0, 0
1, -1.41199
0, 0
1, 2.45648
1, 2.45648
0, 0
2, -1.85687
2, -1.85687
2, -0.889749
1, -1.41199
2, 6.8472
2, 6.8472
2, 2.97872
0, 0
1, 2.45648
2, 1.04449
1, 1.48936
0, 0
2, 1.04449
2, 2.01161
3, 1.56673
0, 0
1, -3.34623
1, -1.41199
1, -1.41199
0, 0
1, 2.45648
0, 0
1, 0.522244
0, 0
1, -5.28046
1, -3.34623
1, 2.45648
1, 2.45648
2, 1.04449
2, 0.0773694
2, -2.82398
2, -0.889749
1, -1.41199
1, -1.41199
1, 0.522244
1, 2.45648
2, 2.01161
1, -1.41199
1, 2.45648
2, 4.91296
1, 2.45648
2, 5.88008
1, 2.45648
2, 2.01161
1, 2.45648
2, 3.94584
1, -0.444874
2, 3.94584
1, 2.45648
0, 0
1, -3.34623
0, 0
1, 2.45648
0, 0
1, 5.35783
0, 0
1, 5.35783
1, -0.444874
2, 0.0773694
1, -0.444874
1, -1.41199
1, 0.522244
1, -3.34623
0, 0
1, 0.522244
0, 0
2, 0.0773694
1, -0.444874
0, 0
1, 2.45648
1, -1.41199
1, 0.522244
0, 0
0, 0
1, -1.41199
1, -1.41199
0, 0
1, -1.41199
1, -3.34623
1, 2.45648
1, -0.444874
2, -0.889749
1, 0.522244
2, 2.97872
0, 0
1, 4.39072
0, 0
1, 1.48936
2, -0.889749
2, 0.0773694
1, -1.41199
0, 0
0, 0
1, 2.45648
1, 2.45648
1, 0.522244
1, 1.48936
1, 1.48936
1, -4.31335
0, 0
1, -1.41199
0, 0
1, -0.444874
2, 2.97872
3, 9.30368
2, 4.91296
0, 0
0, 0
1, -1.41199
0, 0
1, 0.522244
0, 0
0, 0
2, 8.78143
1, 2.45648
0, 0
3, 2.53385
1, 4.39072
0, 0
1, 4.39072
0, 0
1, -0.444874
0, 0
1, 0.522244
1, -1.41199
1, -1.41199
1, 1.48936
2, 3.94584
1, 2.45648
1, -3.34623
1, -3.34623
1, -1.41199
0, 0
3, -1.33462
2, 1.04449
2, 4.91296
2, 4.91296
0, 0
2, 4.91296
2, 2.97872
2, 1.04449
2, 4.91296
2, 6.8472
1, 2.45648
2, 4.91296
1, 2.45648
1, 4.39072
1, 1.48936
0, 0
1, -1.41199
1, 3.4236
1, 3.4236
1, 3.4236
0, 0
2, -0.889749
2, -0.889749
1, 0.522244
0, 0
0, 0
1, -3.34623
1, -3.34623
2, -1.85687
1, -1.41199
0, 0
1, -4.31335
1, 1.48936
2, 2.97872
1, 1.48936
0, 0
0, 0
1, 2.45648
1, 0.522244
1, 3.4236
0, 0
1, -5.28046
1, -5.28046
1, -1.41199
2, -0.889749
1, -1.41199
0, 0
2, -1.85687
1, 0.522244
1, -1.41199
1, -3.34623
1, -1.41199
2, -0.889749
2, 2.01161
1, 0.522244
1, 2.45648
1, 2.45648
1, 2.45648
2, 2.97872
2, 7.81431
0, 0
1, -1.41199
2, 2.01161
2, 2.01161
2, -2.82398
1, 0.522244
1, -4.31335
1, -2.37911
1, -3.34623
1, 4.39072
1, 4.39072
2, 1.04449
1, 0.522244
2, -0.889749
1, 0.522244
1, 0.522244
1, 0.522244
1, 0.522244
1, 0.522244
1, -1.41199
1, 0.522244
1, 2.45648
1, 0.522244
1, 0.522244
0, 0
1, 0.522244
2, 1.04449
0, 0
1, 2.45648
2, 2.97872
2, 4.91296
2, 4.91296
2, 2.97872
1, 4.39072
1, 4.39072
2, 4.91296
1, 0.522244
1, 0.522244
0, 0
0, 0
2, -0.889749
0, 0
2, 2.01161
2, 1.04449
1, -3.34623
1, -1.41199
2, 3.94584
2, 2.01161
2, 2.97872
0, 0
0, 0
0, 0
1, 0.522244
0, 0
1, -1.41199
2, 3.94584
1, 0.522244
1, 2.45648
1, 2.45648
0, 0
1, 0.522244
2, -2.82398
1, 0.522244
1, 0.522244
1, 2.45648
1, 2.45648
2, 4.91296
1, 2.45648
0, 0
1, 4.39072
1, 2.45648
2, 4.91296
1, 2.45648
1, 2.45648
2, 4.91296
2, 6.8472
2, 4.91296
1, 2.45648
0, 0
2, -2.82398
2, -3.7911
2, 1.04449
0, 0
1, 0.522244
2, 2.97872
1, 0.522244
1, -1.41199
1, -2.37911
0, 0
1, -0.444874
2, 0.0773694
1, -5.28046
1, -1.41199
2, 5.88008
1, 3.4236
1, 0.522244
1, -0.444874
0, 0
1, 4.39072
0, 0
2, 2.97872
2, 1.04449
1, 2.45648
1, 2.45648
0, 0
1, 0.522244
1, 0.522244
1, 2.45648
2, 1.04449
1, 2.45648
2, 4.91296
1, 2.45648
1, 1.48936
1, 1.48936
2, 3.94584
2, 2.97872
1, 0.522244
1, 4.39072
0, 0
1, 0.522244
2, 2.97872
1, -1.41199
0, 0
1, 0.522244
1, 0.522244
1, -1.41199
0, 0
1, 2.45648
0, 0
1, 4.39072
0, 0
1, 0.522244
1, 2.45648
2, 3.94584
1, 0.522244
1, 0.522244
0, 0
2, 2.97872
2, 2.97872
1, -1.41199
1, 2.45648
1, -1.41199
0, 0
2, 1.04449
2, 1.04449
0, 0
1, 0.522244
1, 0.522244
2, 1.04449
1, 0.522244
2, 4.91296
2, -0.889749
1, -0.444874
0, 0
1, 4.39072
1, -1.41199
1, -1.41199
2, 2.97872
2, 1.04449
1, 1.48936
1, 1.48936
2, 4.91296
1, 2.45648
1, 2.45648
2, 2.97872
1, 2.45648
2, 2.97872
1, 0.522244
0, 0
2, -0.889749
1, -5.28046
1, 2.45648
0, 0
1, 2.45648
0, 0
1, -3.34623
1, -1.41199
1, 0.522244
2, 4.91296
1, 0.522244
1, -1.41199
1, -3.34623
0, 0
2, -0.889749
2, 1.04449
1, 2.45648
1, 1.48936
1, -0.444874
2, -1.85687
1, -0.444874
2, 2.01161
2, -0.889749
1, -0.444874
1, -2.37911
0, 0
1, 0.522244
0, 0
1, 0.522244
3, 1.56673
3, 3.50097
1, 0.522244
1, -7.2147
1, -0.444874
1, -1.41199
0, 0
1, 1.48936
0, 0
1, 2.45648
1, 6.32495
0, 0
1, 0.522244
0, 0
1, -1.41199
1, 0.522244
1, -1.41199
0, 0
1, 0.522244
1, 0.522244
2, 5.88008
0, 0
3, 0.599613
2, 0.0773694
1, 0.522244
1, 2.45648
1, -1.41199
1, -3.34623
1, -1.41199
2, -2.82398
1, 0.522244
1, 2.45648
2, 3.94584
0, 0
2, 5.88008
1, 2.45648
2, 5.88008
1, 4.39072
0, 0
0, 0
1, 0.522244
1, -1.41199
2, 3.94584
1, -0.444874
1, 0.522244
2, 3.94584
1, -0.444874
0, 0
1, 4.39072
0, 0
1, -1.41199
2, 7.81431
1, 4.39072
0, 0
1, 0.522244
0, 0
3, 9.30368
2, 6.8472
1, -1.41199
1, 2.45648
2, 2.01161
2, 2.01161
2, 2.01161
2, -0.889749
1, 2.45648
0, 0
1, -0.444874
0, 0
2, 2.97872
0, 0
0, 0
1, 4.39072
2, 4.91296
1, 0.522244
0, 0
1, -3.34623
0, 0
1, 4.39072
1, 2.45648
0, 0
1, 4.39072
2, 2.97872
1, -1.41199
1, -0.444874
1, 1.48936
2, 2.01161
2, 0.0773694
1, -0.444874
2, 0.0773694
0, 0
1, -5.28046
1, -3.34623
0, 0
1, -1.41199
0, 0
1, 2.45648
1, 2.45648
0, 0
1, 2.45648
2, 0.0773694
2, 5.88008
1, 2.45648
1, 2.45648
1, 2.45648
2, 2.97872
2, 2.97872
1, 2.45648
0, 0
1, -1.41199
2, 2.97872
2, 2.97872
1, -1.41199
0, 0
1, -0.444874
1, -2.37911
1, -1.41199
0, 0
1, 1.48936
2, 3.94584
2, 4.91296
2, 4.91296
0, 0
1, -1.41199
0, 0
1, -1.41199
2, 2.97872
2, 1.04449
2, 2.97872
0, 0
1, 1.48936
1, 1.48936
1, -1.41199
1, -4.31335
1, -4.31335
0, 0
1, 0.522244
1, 0.522244
0, 0
0, 0
2, 2.01161
0, 0
2, -1.85687
2, -4.75822
1, -1.41199
2, 2.97872
0, 0
2, -4.75822
1, -5.28046
0, 0
1, 5.35783
1, 0.522244
1, -1.41199
1, -1.41199
2, 4.91296
1, 4.39072
2, 1.04449
2, 0.0773694
1, -0.444874
1, 1.48936
0, 0
1, -1.41199
1, 1.48936
1, 2.45648
0, 0
1, -0.444874
1, -0.444874
1, -2.37911
1, 0.522244
0, 0
1, 2.45648
1, -0.444874
1, 2.45648
0, 0
0, 0
1, 2.45648
0, 0
0, 0
1, -1.41199
0, 0
1, 0.522244
0, 0
1, -0.444874
1, 0.522244
0, 0
1, 4.39072
1, 2.45648
1, 3.4236
0, 0
1, 3.4236
1, 2.45648
0, 0
1, 0.522244
1, 2.45648
1, -6.24758
1, -4.31335
0, 0
2, 4.91296
1, 2.45648
2, 2.01161
2, 3.94584
1, 6.32495
2, 3.94584
2, 2.01161
2, 2.01161
1, 0.522244
1, 0.522244
2, -1.85687
1, 0.522244
1, -3.34623
0, 0
1, 0.522244
1, 2.45648
0, 0
1, 0.522244
1, -1.41199
2, 1.04449
0, 0
3, 10.2708
2, 5.88008
1, 2.45648
0, 0
1, -3.34623
2, 3.94584
1, 2.45648
0, 0
2, -8.62669
0, 0
1, 0.522244
1, 1.48936
1, 1.48936
1, 5.35783
2, 2.97872
2, 1.04449
0, 0
0, 0
1, -1.41199
1, 0.522244
1, 0.522244
2, -0.889749
0, 0
1, 0.522244
1, 2.45648
0, 0
0, 0
2, 2.97872
2, -3.7911
1, -0.444874
1, -0.444874
1, -0.444874
1, -2.37911
1, -2.37911
1, -1.41199
2, -1.85687
1, 1.48936
1, 1.48936
0, 0
0, 0
1, 1.48936
0, 0
1, -1.41199
0, 0
1, 3.4236
1, 2.45648
1, 2.45648
1, 2.45648
0, 0
1, 0.522244
1, 0.522244
2, 5.88008
1, 2.45648
1, 0.522244
1, 4.39072
2, 6.8472
1, 2.45648
0, 0
1, 0.522244
1, 0.522244
0, 0
2, -0.889749
1, 1.48936
1, 2.45648
1, -1.41199
1, -1.41199
1, 0.522244
1, 0.522244
1, -3.34623
2, 1.04449
1, 0.522244
2, 1.04449
1, 0.522244
1, -1.41199
1, 1.48936
0, 0
1, 0.522244
0, 0
2, 6.8472
1, 2.45648
1, 0.522244
0, 0
1, 1.48936
0, 0
2, 2.01161
1, 1.48936
0, 0
1, 5.35783
1, 1.48936
1, -0.444874
0, 0
1, -0.444874
0, 0
0, 0
1, 3.4236
0, 0
1, 0.522244
1, 0.522244
1, -1.41199
0, 0
1, 0.522244
1, 4.39072
1, 1.48936
2, -2.82398
1, 2.45648
2, -0.889749
0, 0
2, 3.94584
3, 4.46809
2, 4.91296
2, 4.91296
3, 3.50097
2, 4.91296
1, 2.45648
1, 0.522244
0, 0
1, 2.45648
0, 0
1, 0.522244
1, 3.4236
0, 0
2, 4.91296
2, 4.91296
1, 1.48936
1, 1.48936
1, 1.48936
0, 0
